title,year,certificate,duration,genre,rating,description,stars,votes,country,show_id,director,type
Supernatural,(2005–2020),TV-14,44 min,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","['Jared Padalecki, ', 'Jensen Ackles, ', 'Jim Beaver, ', 'Misha Collins']","439,597","United States, Canada",s2424,Phil Sgriccia,TV Show
The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,"Action, Adventure, Drama",9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"['Peter Jackson', '| ', '    Stars:', 'Elijah Wood, ', 'Viggo Mortensen, ', 'Ian McKellen, ', 'Orlando Bloom']","1,819,157","New Zealand, United States",s8405,Peter Jackson,Movie
The Lord of the Rings: The Two Towers,(2002),PG-13,179 min,"Action, Adventure, Drama",8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","['Peter Jackson', '| ', '    Stars:', 'Elijah Wood, ', 'Ian McKellen, ', 'Viggo Mortensen, ', 'Orlando Bloom']","1,642,708","New Zealand, United States",s8406,Peter Jackson,Movie
American Psycho,(2000),R,102 min,"Crime, Drama, Horror",7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","['Mary Harron', '| ', '    Stars:', 'Christian Bale, ', 'Justin Theroux, ', 'Josh Lucas, ', 'Bill Sage']","598,117","United States, Canada",s6148,Mary Harron,Movie
Riverdale,(2017– ),TV-14,45 min,"Crime, Drama, Mystery",6.6,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","['Lili Reinhart, ', 'Camila Mendes, ', 'Cole Sprouse, ', 'K.J. Apa']","143,861",United States,s677,Rob Seidenglanz,TV Show
The Flash,(2014–2023),TV-PG,43 min,"Action, Adventure, Drama",7.6,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.","['Grant Gustin, ', 'Candice Patton, ', 'Danielle Panabaker, ', 'Carlos Valdes']","344,187",United States,s381,Glen Winter,TV Show
You,(2018– ),TV-MA,45 min,"Crime, Drama, Romance",7.7,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","['Penn Badgley, ', 'Victoria Pedretti, ', 'Ambyr Childers, ', 'Elizabeth Lail']","234,218",United States,s3097,Lee Toland Krieger,TV Show
365 Days,(2020),TV-MA,114 min,"Drama, Romance",3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","['Barbara Bialowas, ', 'Tomasz Mandes', '| ', '    Stars:', 'Anna-Maria Sieklucka, ', 'Michele Morrone, ', 'Bronislaw Wroclawski, ', 'Otar Saralidze']","89,071",Poland,s2413,"Barbara Białowąs, Tomasz Mandes",Movie
Jaws,(1975),PG,124 min,"Adventure, Thriller",8.1,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","['Steven Spielberg', '| ', '    Stars:', 'Roy Scheider, ', 'Robert Shaw, ', 'Richard Dreyfuss, ', 'Lorraine Gary']","600,404",United States,s42,Steven Spielberg,Movie
The Lincoln Lawyer,(2022– ),TV-MA,60 min,"Crime, Drama, Mystery",7.7,An iconoclastic idealist runs his law practice out of the back of his Lincoln Town Car in this series based on Michael Connelly's bestselling novels.,"['Manuel Garcia-Rulfo, ', 'Neve Campbell, ', 'Becki Newton, ', 'Angus Sampson']","35,356",United States,s356,Brad Furman,Movie
Taxi Driver,(1976),R,114 min,"Crime, Drama",8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","['Martin Scorsese', '| ', '    Stars:', 'Robert De Niro, ', 'Jodie Foster, ', 'Cybill Shepherd, ', 'Albert Brooks']","819,599",Nigeria,s2882,Daniel Oriahi,Movie
Arrow,(2012–2020),TV-14,42 min,"Action, Adventure, Crime",7.5,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","['Stephen Amell, ', 'Katie Cassidy, ', 'David Ramsey, ', 'Susanna Thompson']","429,943",United States,s2948,James Bamford,TV Show
The Departed,(2006),R,151 min,"Crime, Drama, Thriller",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"['Martin Scorsese', '| ', '    Stars:', 'Leonardo DiCaprio, ', 'Matt Damon, ', 'Jack Nicholson, ', 'Mark Wahlberg']","1,310,171","United States, Hong Kong",s8273,Martin Scorsese,Movie
The Americans,(2013–2018),TV-MA,44 min,"Crime, Drama, Mystery",8.4,"At the height of the Cold War, two Russian agents pose as the average American couple, complete with family.","['Keri Russell, ', 'Matthew Rhys, ', 'Keidrich Sellati, ', 'Holly Taylor']","98,875","United States, United Kingdom",s599,Anton Corbijn,Movie
Gotham,(2014–2019),TV-14,42 min,"Action, Crime, Drama",7.8,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,"['Ben McKenzie, ', 'Jada Pinkett Smith, ', 'Donal Logue, ', 'Camren Bicondova']","229,301",United States,s3478,Danny Cannon,TV Show
El Camino: A Breaking Bad Movie,(2019),TV-MA,122 min,"Action, Crime, Drama",7.3,"Fugitive Jesse Pinkman runs from his captors, the law, and his past.","['Vince Gilligan', '| ', '    Stars:', 'Aaron Paul, ', 'Jonathan Banks, ', 'Matt Jones, ', 'Charles Baker']","243,473",United States,s3429,Vince Gilligan,Movie
Knock Knock,(I) (2015),R,99 min,"Drama, Thriller",4.9,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.","['Eli Roth', '| ', '    Stars:', 'Keanu Reeves, ', 'Lorenza Izzo, ', 'Ana de Armas, ', 'Aaron Burns']","94,594","United States, Chile, Israel",s7219,Eli Roth,Movie
The King,(I) (2019),R,140 min,"Biography, Drama, History",7.3,"Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.","['David Michôd', '| ', '    Stars:', 'Tom Glynn-Carney, ', 'Gábor Czap, ', 'Tom Fisher, ', 'Edward Ashley']","127,673","United Kingdom, Hungary, Australia",s3348,David Michôd,Movie
Grease,(1978),PG,110 min,"Comedy, Musical, Romance",7.2,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?","['Randal Kleiser', '| ', '    Stars:', 'John Travolta, ', 'Olivia Newton-John, ', 'Stockard Channing, ', 'Jeff Conaway']","275,313",United States,s6894,Randal Kleiser,Movie
Legally Blonde,(2001),PG-13,96 min,"Comedy, Romance",6.4,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.","['Robert Luketic', '| ', '    Stars:', 'Reese Witherspoon, ', 'Luke Wilson, ', 'Selma Blair, ', 'Matthew Davis']","216,974",United States,s1122,Robert Luketic,Movie
Naruto,(2002–2007),TV-PG,24 min,"Animation, Action, Adventure",8.4,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","['Junko Takeuchi, ', 'Maile Flanagan, ', 'Kate Higgins, ', 'Chie Nakamura']","99,442",Japan,s3542,Hayato Date,TV Show
Snowpiercer,(2020–2023),TV-MA,60 min,"Action, Drama, Sci-Fi",6.9,"Seven years after the world has become a frozen wasteland, the remnants of humanity inhabit a perpetually-moving train that circles the globe, where class warfare, social injustice and the politics of survival play out.","['Daveed Diggs, ', 'Mickey Sumner, ', 'Alison Wright, ', 'Iddo Goldberg']","54,342","South Korea, Czech Republic",s556,Bong Joon Ho,Movie
Skins,(2007–2013),TV-MA,46 min,Drama,8.2,The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who would rather be friends (and lovers) than authority figures.,"['Kaya Scodelario, ', 'Nicholas Hoult, ', 'Joe Dempsie, ', 'Hannah Murray']","83,918",Spain,s5551,Eduardo Casanova,Movie
Kill Bill: Vol. 1,(2003),R,111 min,"Action, Crime, Drama",8.2,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","['Quentin Tarantino', '| ', '    Stars:', 'Uma Thurman, ', 'David Carradine, ', 'Daryl Hannah, ', 'Michael Madsen']","1,103,348","United States, Japan",s7198,Quentin Tarantino,Movie
Uncut Gems,(2019),R,135 min,"Crime, Drama, Thriller",7.4,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.","['Benny Safdie, ', 'Josh Safdie', '| ', '    Stars:', 'Adam Sandler, ', 'Julia Fox, ', 'Idina Menzel, ', 'Mesfin Lamengo']","277,507",United States,s2472,"Josh Safdie, Benny Safdie",Movie
Supergirl,(2015–2021),TV-PG,43 min,"Action, Adventure, Drama",6.2,The adventures of Superman's cousin in her own superhero career.,"['Melissa Benoist, ', 'Chyler Leigh, ', 'David Harewood, ', 'Katie McGrath']","123,705",United States,s2471,Jesse Warn,TV Show
The Irishman,(2019),R,209 min,"Biography, Crime, Drama",7.8,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,"['Martin Scorsese', '| ', '    Stars:', 'Robert De Niro, ', 'Al Pacino, ', 'Joe Pesci, ', 'Harvey Keitel']","382,523",United States,s3228,Martin Scorsese,Movie
Death Note,(2006–2007),TV-14,24 min,"Animation, Crime, Drama",9.0,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"['Mamoru Miyano, ', 'Brad Swaile, ', 'Vincent Tong, ', 'Ryô Naitô']","316,300",United States,s5319,Adam Wingard,Movie
Fullmetal Alchemist: Brotherhood,(2009–2010),TV-14,24 min,"Animation, Action, Adventure",9.1,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"['Kent Williams, ', 'Iemasa Kayumi, ', 'Matthew Leonhart, ', 'Vic Mignogna']","164,032",Japan,s5097,Yasuhiro Irie,TV Show
Wind River,(2017),R,107 min,"Crime, Drama, Mystery",7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,"['Taylor Sheridan', '| ', '    Stars:', 'Elizabeth Olsen, ', 'Jeremy Renner, ', 'Graham Greene, ', 'Kelsey Asbille']","249,800","United Kingdom, Canada, United States",s192,Taylor Sheridan,Movie
DC's Legends of Tomorrow,(2016–2022),TV-14,42 min,"Action, Adventure, Drama",6.8,"Time-traveling rogue Rip Hunter must recruit a ragtag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","['Caity Lotz, ', 'Amy Louise Pemberton, ', 'Dominic Purcell, ', 'Nick Zano']","104,446",United States,s2406,Rob Seidenglanz,TV Show
Zodiac,(2007),R,157 min,"Crime, Drama, Mystery",7.7,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.","['David Fincher', '| ', '    Stars:', 'Jake Gyllenhaal, ', 'Robert Downey Jr., ', 'Mark Ruffalo, ', 'Anthony Edwards']","536,068",United States,s8803,David Fincher,Movie
Enola Holmes,(2020),PG-13,123 min,"Action, Adventure, Crime",6.6,"When Enola Holmes-Sherlock's teen sister-discovers her mother is missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.","['Harry Bradbeer', '| ', '    Stars:', 'Millie Bobby Brown, ', 'Henry Cavill, ', 'Sam Claflin, ', 'Helena Bonham Carter']","169,720",United Kingdom,s1960,Harry Bradbeer,Movie
Run,(I) (2020),PG-13,90 min,"Mystery, Thriller",6.7,A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,"['Aneesh Chaganty', '| ', '    Stars:', 'Sarah Paulson, ', 'Kiera Allen, ', 'Sara Sohn, ', 'Pat Healy']","77,264",India,s7903,Jeeva,Movie
Bodyguard,(2018),TV-MA,60 min,"Crime, Drama, Thriller",8.1,A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.,"['Richard Madden, ', 'Sophie Rundle, ', 'Vincent Franklin, ', 'Ash Tandon']","121,426",India,s1675,Siddique,Movie
Hubie Halloween,(2020),PG-13,103 min,"Comedy, Mystery",5.2,"Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Halloween.","['Steven Brill', '| ', '    Stars:', 'Adam Sandler, ', 'Kevin James, ', 'Julie Bowen, ', 'Ray Liotta']","49,569",United States,s1880,Steve Brill,Movie
Amar,(2017),TV-MA,105 min,"Drama, Romance",5.1,"Laura and Carlos love each other as if every day was the last, and perhaps that first love intensity is what will tear them apart a year later.","['Esteban Crespo', '| ', '    Stars:', 'María Pedraza, ', 'Pol Monen, ', 'Natalia Tena, ', 'Greta Fernández']","4,570",Spain,s5375,Esteban Crespo,Movie
I'm Thinking of Ending Things,(2020),R,134 min,"Drama, Thriller",6.6,"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.","['Charlie Kaufman', '| ', '    Stars:', 'Jesse Plemons, ', 'Jessie Buckley, ', 'Toni Collette, ', 'David Thewlis']","85,315",United States,s2046,Charlie Kaufman,Movie
Snowpiercer,(2013),R,126 min,"Action, Sci-Fi, Thriller",7.1,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.","['Bong Joon Ho', '| ', '    Stars:', 'Chris Evans, ', 'Jamie Bell, ', 'Tilda Swinton, ', 'Ed Harris']","359,095","South Korea, Czech Republic",s556,Bong Joon Ho,Movie
